file_id,d_0,cc_0,r_0,ciwc_0,clwc_0,q_0,crwc_0,t_0,u_0,v_0,w_0,d_1,cc_1,r_1,ciwc_1,clwc_1,q_1,crwc_1,t_1,u_1,v_1,w_1,d_2,cc_2,r_2,ciwc_2,clwc_2,q_2,crwc_2,t_2,u_2,v_2,w_2,d_3,cc_3,r_3,ciwc_3,clwc_3,q_3,crwc_3,t_3,u_3,v_3,w_3,d_4,cc_4,r_4,ciwc_4,clwc_4,q_4,crwc_4,t_4,u_4,v_4,w_4,d_5,cc_5,r_5,ciwc_5,clwc_5,q_5,crwc_5,t_5,u_5,v_5,w_5,d_6,cc_6,r_6,ciwc_6,clwc_6,q_6,crwc_6,t_6,u_6,v_6,w_6,d_7,cc_7,r_7,ciwc_7,clwc_7,q_7,crwc_7,t_7,u_7,v_7,w_7,d_8,cc_8,r_8,ciwc_8,clwc_8,q_8,crwc_8,t_8,u_8,v_8,w_8
24,-2.518871e-05,0.2578125,97.46211,0.0,3.552437e-05,0.007747881,0.0003019261,286.38806,-1.7415266,1.5556223,0.11561453,-4.2149957e-05,0.83984375,98.46919,0.0,8.4877014e-05,0.007931583,0.00022250292,285.1452,-0.7012434,2.4745677,-0.087388396,-3.6055382e-05,0.0,91.159134,0.0,0.0,0.007376455,4.507479e-05,287.19238,-1.8648176,0.51753646,0.33025992,-6.517598e-05,0.828125,99.19331,0.0,0.00010314584,0.008594982,0.00015464303,285.35876,-4.915477,9.585407,-0.25991952,2.4461959e-05,0.16015625,97.48213,0.0,5.5134296e-06,0.008490168,0.00012291846,286.36053,-0.8800764,1.3214915,-0.11470163,-1.6691323e-05,0.00390625,85.413284,0.0,2.0861626e-07,0.008028053,2.5464862e-05,286.2556,-4.2622786,5.6923413,0.034330964,1.7182741e-05,0.68359375,100.070755,0.0,2.9355288e-05,0.009029083,6.1548024e-05,285.57355,-3.2902327,12.402058,-0.024506927,6.948582e-05,0.015625,92.39351,0.0,2.861023e-06,0.008618914,8.572516e-05,286.40533,-1.7374983,4.9110913,0.10531485,8.934949e-06,0.0,93.78047,0.0,0.0,0.008129261,3.5925477e-05,287.0938,-0.91120434,2.3129466,-0.016480803
27,-2.424902e-06,0.34765625,94.22121,0.0,2.0612017e-05,0.004589482,2.3748726e-08,276.9076,-1.8050013,2.8499575,0.043253765,2.2437685e-05,0.0,95.36366,6.053597e-08,4.8414602e-08,0.003720715,0.0,277.57086,-0.9283533,0.7051821,0.12128721,3.6771235e-06,0.0078125,92.171646,3.457535e-08,3.505484e-06,0.0032185458,0.0,278.95355,2.0284338,-0.4553404,0.44552886,-0.000102314836,0.84375,98.008804,0.0,7.062031e-05,0.0048078736,1.6505874e-07,277.14478,-0.8347864,1.5315981,-0.051167622,1.8660241e-05,0.31640625,99.10756,1.21071935e-08,8.9872614e-05,0.004145517,2.3748726e-08,278.9859,0.10954952,0.06071186,0.1823834,-4.2538828e-05,0.484375,97.48378,0.0,2.4903551e-05,0.0037848793,3.4600816e-08,278.21417,0.53111935,-0.2523985,0.08378111,-2.4933252e-07,0.0078125,93.59657,0.0,1.244618e-05,0.005170389,0.0,279.34796,-1.3899622,3.4042788,0.14458738,7.460665e-05,0.55859375,97.7516,2.6344787e-07,3.205611e-05,0.0036182546,0.0,279.97998,0.5886755,0.7499819,0.062373027,2.4330133e-05,0.0546875,94.71071,7.171184e-08,2.9988446e-06,0.003906562,0.0,279.2309,0.1923132,1.8593569,0.16079985
30,-9.134253e-05,0.107910156,87.05139,0.0,1.6447157e-06,0.0053577498,8.721651e-06,280.53833,4.8005543,1.1481936,-0.40598983,-1.0340445e-06,0.0087890625,94.72473,4.2200554e-09,1.8617138e-06,0.0052948073,9.502332e-06,279.76013,0.95045686,1.9071047,-0.059569538,-6.569763e-05,0.017578125,84.959595,0.0,1.9874424e-06,0.0054225996,4.9819255e-06,280.51215,-0.408674,6.539307,-0.008498371,-1.933267e-05,0.0,76.439575,0.0,0.0,0.005550243,2.730686e-06,282.3451,7.395525,1.9929202,-0.025572956,-0.000120250785,0.0,83.044556,0.0,8.1025064e-08,0.0059060827,4.962135e-06,282.1739,4.619402,4.2808843,-0.25662154,7.1653194e-06,0.0,80.19055,0.0,0.0,0.005373217,2.1886563e-06,282.23547,-0.22508025,2.9227297,0.097275555,1.7823375e-05,0.0,79.536255,0.0,0.0,0.00618995,3.4149753e-06,283.3731,9.257341,1.2283938,-0.016921222,-1.9533836e-05,0.0,80.78821,0.0,0.0,0.0063048974,8.928638e-06,283.54193,8.051775,3.2420657,-0.042205036,1.6922422e-07,0.0,85.729614,0.0,0.0,0.0057322457,1.3226459e-05,282.57812,-0.16062713,0.87597686,0.09712297
34,-3.9984618e-05,0.9921875,100.14018,0.0,8.785725e-05,0.007088471,4.5753342e-07,285.99817,-0.3546276,1.2778025,-0.02166742,2.3211207e-05,0.1171875,99.58061,0.0,2.6226044e-06,0.0079649575,7.5169587e-06,286.10803,-0.23036003,1.8415232,-0.009288728,-5.1763986e-05,0.0,93.986374,0.0,3.5762787e-07,0.0076115616,0.00010395355,285.54102,0.5443592,5.688447,-0.12166208,-1.2085919e-05,0.52734375,98.74492,0.0,5.698204e-05,0.008156288,2.7001581e-06,288.1775,0.9292469,1.2321482,-0.053966463,-3.7693564e-05,0.0,96.05669,0.0,0.0,0.009419192,5.0342896e-05,288.39148,1.1470203,3.8056345,-0.011833131,1.009446e-05,0.0,87.30473,0.0,0.0,0.0072871335,4.9474904e-05,286.8153,-0.7219372,13.042695,-0.028316438,-2.994496e-05,0.0,96.83086,0.0,0.0,0.010374475,3.8384715e-05,289.80444,1.4838734,2.803193,0.022556365,2.781715e-06,0.0,95.99394,0.0,0.0,0.01061945,0.00015532157,289.9911,1.0506458,4.083955,0.0006790757,-0.000113849674,0.0,91.237595,0.0,0.0,0.008524109,0.000142216,288.49573,0.38609505,11.927217,-0.019267976
42,6.8964573e-06,0.0,54.27411,0.0,0.0,0.0021767993,0.0,273.99268,-4.81221,4.7315326,0.021866355,0.00010682178,0.0,54.059753,0.0,0.0,0.002084442,0.0,274.04688,-3.2731476,3.7293355,0.17575887,1.3644012e-06,0.0,60.980896,0.0,0.0,0.0020719846,0.0,272.92993,-2.2192535,2.0957906,0.025688682,4.4827364e-05,0.0,55.450134,0.0,0.0,0.0023512025,7.010676e-07,276.53442,-2.133438,1.4615133,-0.055545297,7.902286e-06,0.0,60.268738,0.0,0.0,0.0024344106,0.0,276.19482,-1.9314728,1.1075094,-0.031215157,4.3874743e-06,0.0,59.800476,0.0,0.0,0.002367415,0.0,276.04395,-1.8885651,1.0197408,-0.037929025,2.2322885e-05,0.0,61.117615,0.0,0.0,0.0030106087,0.0,279.73218,-1.6934357,0.6927144,-0.026233163,-8.462915e-06,0.0,68.05731,0.0,0.0,0.003849395,0.0,281.74316,-1.4539337,0.9927632,-0.01454493,-6.379423e-07,0.0,57.591003,0.0,0.0,0.0033787866,0.0,281.26343,-1.598465,1.2830465,-0.010306802
45,-1.5267404e-05,0.1171875,98.54965,6.263144e-08,1.2397766e-05,0.005027704,4.0193868e-08,279.20227,1.1968976,0.13837802,0.009725809,-2.2399472e-05,0.0,91.20297,0.0,2.682209e-07,0.00555142,2.2846812e-06,279.885,3.4157085,3.6631584,0.026960611,1.5069498e-05,0.08984375,98.338715,4.0745363e-08,1.5586615e-05,0.0046982095,7.4386203e-06,279.95203,1.674986,0.3374747,-0.20708632,-1.9147294e-05,0.00390625,96.44418,0.0,2.682209e-07,0.005671732,1.5381522e-07,279.75494,1.7011701,-0.40568936,-0.023019552,-4.126923e-06,0.001953125,94.168304,0.0,0.0,0.005422674,7.926634e-06,280.70587,1.0833112,0.671337,-0.082704306,2.2540567e-05,0.296875,97.65561,6.982591e-07,1.847744e-06,0.0041571185,1.4390404e-06,280.297,1.3687726,-0.15288174,-0.025506735,-2.6572961e-06,0.015625,98.67514,0.0,8.6426735e-07,0.0057765767,1.7501021e-06,280.1006,1.3171369,-0.2981454,0.061331034,6.558071e-05,0.0,81.60629,0.0,8.940697e-08,0.0054272637,6.196569e-05,281.55072,-0.40912044,1.6734122,0.028005838,3.2967655e-05,0.4453125,96.904144,2.165325e-07,6.67274e-05,0.0050245747,5.93077e-05,281.02362,1.7744123,-0.4524423,0.07860398
50,-8.274373e-05,0.0,59.495163,0.0,0.0,0.0037294168,0.0,279.43225,4.93484,-4.1956215,-0.38369858,-6.5280183e-06,0.0,62.67241,0.0,0.0,0.0041232547,2.5166664e-06,281.1595,3.4143934,-0.5775795,-0.31616318,1.7976941e-05,0.0,65.61235,0.0,0.0,0.003272428,2.4412293e-06,280.76392,2.3658094,-1.2440834,-0.4507457,-5.660337e-05,0.0,64.312546,0.0,0.0,0.0038243968,8.684583e-08,278.73944,3.7319593,-4.349186,-0.39741623,-8.547126e-06,0.0,64.93364,0.0,0.0,0.0042676767,4.3231994e-06,280.72845,5.262782,-3.3654213,0.04141128,6.186831e-05,0.005859375,74.58305,0.0,1.1846423e-06,0.0038587588,1.0323711e-06,280.2165,3.5713758,-0.29413223,0.03222549,-7.780772e-05,0.0,76.863815,0.0,0.0,0.00463356,4.9802475e-07,279.15497,3.2726698,-3.3921547,-0.08682358,-4.805383e-05,0.35742188,87.119675,0.0,2.5071204e-05,0.004548802,1.1263182e-05,278.72632,1.9381361,-0.984684,-0.31387436,2.629924e-05,0.0,61.27397,0.0,0.0,0.0031232673,4.0535815e-07,281.30365,3.7427626,-2.2944984,0.34466445
56,-4.561401e-05,0.0,60.291946,0.0,0.0,0.0017811379,0.0,270.19556,3.9494286,-0.91489506,-0.03417653,1.0302596e-05,0.0,69.57515,0.0,0.0,0.0019270054,0.0,269.81635,3.8957176,-0.80170536,-0.06417531,2.5863133e-05,0.0,67.01997,0.0,0.0,0.0018115661,0.0,270.18622,4.782192,-0.7252283,-0.08120412,1.5391342e-05,0.0,59.01509,0.0,0.0,0.0018865413,0.0,271.36334,4.918667,-0.6228113,-0.01751393,1.4904217e-06,0.0,55.136673,0.0,0.0,0.001815418,0.0,271.71747,5.43417,-0.6474695,-0.01273793,2.4296649e-05,0.0,55.64888,0.0,0.0,0.0016306883,0.0,271.3969,5.962429,-1.0167627,-0.22604054,3.2551892e-05,0.0,55.167923,0.0,0.0,0.0018327406,0.0,271.56543,4.264492,0.044486046,-0.078686416,1.691126e-05,0.0,53.94966,0.0,0.0,0.0016690961,0.0,271.50757,4.6875877,-0.36310673,-0.33674306,-6.350844e-05,0.0,45.817337,0.0,0.0,0.0015129766,0.0,272.46484,4.5241356,-1.4057703,0.63945323
61,3.3635151e-06,0.0,95.85634,0.0,0.0,0.005199492,0.00011975318,279.17505,-2.034853,-0.47782373,0.03935685,5.300666e-06,0.0,95.8672,0.0,0.0,0.00523746,0.000104693696,279.3938,-1.5336323,-0.2583108,0.017292641,-2.5894988e-06,0.0,93.48439,0.0,0.0,0.0049110204,7.3898584e-05,279.74463,-1.5856953,-0.037943363,0.016155861,-5.243768e-06,0.0,97.032364,0.0,0.0,0.005346507,5.0254166e-05,279.72742,-1.8329792,-0.16858912,0.055748604,-2.0422463e-05,0.0,96.26051,0.0,0.0,0.005316928,5.588308e-05,280.6444,-1.6174946,0.46727514,0.09526505,1.19912875e-05,0.0,96.83412,0.0,0.0,0.004916519,7.5921416e-05,281.84375,-1.7930927,0.605001,0.2096602,1.5573154e-05,0.0,90.73146,0.0,0.0,0.0056356043,0.0,283.19226,-1.7059345,-0.1775918,0.028351448,-4.1183506e-05,0.0,91.0132,0.0,0.0,0.0057062805,0.0,285.23596,-1.2766743,-0.0770669,0.03416886,4.7685156e-05,0.0,94.768936,0.0,0.0,0.0051855,0.0,284.5515,-0.62732124,0.7643943,-0.026168205
64,-1.655308e-05,0.0,94.62985,0.0,0.0,0.0054585226,3.819354e-06,280.52148,-1.1621494,-1.213583,0.005659286,-4.3881446e-06,0.0,76.040985,0.0,0.0,0.004860807,4.4237822e-09,280.93335,-0.86112404,-1.5283413,0.00063532963,-1.5267855e-05,0.0,81.84177,0.0,0.0,0.005220998,0.0,282.69238,-0.89103127,-0.63576317,0.01109523,-2.0751482e-05,0.515625,98.51462,0.0,4.61936e-07,0.0069568045,1.869048e-06,283.16675,1.1436367,-0.13857079,0.0061590113,-4.312744e-05,0.0,93.85593,0.0,0.0,0.0064213164,2.2118911e-09,286.8026,0.38161278,0.3279209,0.019846145,-4.896283e-07,0.0,83.7988,0.0,0.0,0.0053954013,0.0,284.92395,-0.9567051,0.9928379,0.09218806,-2.6335329e-06,0.01953125,89.83981,0.0,4.0456653e-06,0.006357182,1.2677629e-07,286.43555,0.79598045,-0.71578026,0.012228195,-4.0933242e-05,0.0,89.06003,0.0,0.0,0.0060552247,0.0,288.14917,-0.50766945,0.24442482,0.013403121,1.9073734e-05,0.0,95.05417,0.0,0.0,0.0056958683,2.9802322e-08,283.7412,-0.60978127,1.2574863,-0.04277211
