source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,956,01/02/2009 02:00:00 AM,,"Lake Oswego, Oregon",Hours of heavy rain are to blame for an overnight mudslide in Lake Oswego. ,"Lake Oswego, Oregon",5km,mudslide,downpour,small,unknown,0.0,,,,,glc,956.0,United States,US,Oregon,36619.0,Lake Oswego,0.60342,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.663,45.42
The Spokesman-Review,http://www.spokesman.com/stories/2012/mar/31/flooding-reported-across-region/,4290,03/30/2012 12:00:00 AM,,"Pend Oreille County, State Route 20 near Usk, OR","In Pend Oreille County, a mudslide on State Route 20 near Usk forced Washington State Patrol to close the highway late Friday, then reduce traffic to one lane.","Pend Oreille County, State Route 20 near Usk, OR",5km,mudslide,downpour,small,unknown,0.0,,,,,glc,4290.0,United States,US,Washington,2126.0,Newport,19.97241,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.2665,48.2797
MagicValley.com,http://magicvalley.com/news/local/first-fires-now-mud/article_a1e57eb0-596b-5b44-8356-4e58e177aa12.html,236,09/05/2007 12:00:00 AM,,"Warm Springs Road, Idaho","5 feet deep mud, Hotshot crew was trapped while cleaning debris from fire","Warm Springs Road, Idaho",5km,mudslide,rain,medium,unknown,,,,,,glc,236.0,United States,US,Idaho,2689.0,Ketchum,4.51471,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-114.4194,43.6846
Oregon DOT,,8253,12/21/2014 08:10:00 AM,,"US 30, milepost 29",,"US 30, milepost 29",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8253.0,United States,US,Oregon,12883.0,Saint Helens,0.87786,07/05/2016 06:26:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.8178,45.8647
Salem-News.com,http://www.salem-news.com/articles/january012009/hoodland_closure_1-1-09.php,954,01/01/2009 10:24:00 PM,,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,"Oregon State Police and Hoodland Fire Department are on scene of a large mud slide blocking all lanes of Highway 26 between Cherryville Hill and Brightwood.  The mud slide and debris is preliminarily estimated to be up to 2 feet deep and 80 - 100 yards in width. Police say Thursday at approximately 10:24 PM, reports were received of the mud slide that came from the south side of Highway 26 between milepost 34 and 35.",South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,10km,mudslide,rain,small,unknown,0.0,,,,,glc,954.0,United States,US,Oregon,4864.0,Mount Hood Village,7.43093,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.0704,45.377
OregonLive The Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,957,01/03/2009 12:00:00 AM,,"Suburban Portland, Oregon.","A mud slide destroyed a home in suburban Portland, Oregon. And heavy rains forced dozens of homes to be evacuated in the area. Dozens of roads were flooded.  In Clackamas County, floodwater washed into the Estacada library, ruining thousands of books before receding and leaving behind a layer of silt. ","Suburban Portland, Oregon.",10km,mudslide,rain,small,unknown,0.0,,,,,glc,957.0,United States,US,Oregon,583776.0,Portland,0.55624,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.67,45.521
GoUpstate.com,http://www.goupstate.com/news/20090107/2-escape-with-their-lives-after-mudslide-levels-home,958,01/07/2009 01:41:00 AM,,"Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ","A mudslide on Wildcat Run Road off Dogwood Drive in Maggie Valley left a creek side home looking like a pile of matchsticks.  The slide was reported at 1:41 a.m. today, according to a release from Haywood County spokesman David Teague. While it is too early to tell the exact factors that contributed to the collapse, Shuping said a rain Gage located at Soco indicated 5.5 inches of rain had fallen in the area in the last 24 hours and that officials would continue to monitor the possible effects of the weather throughout the day. ","Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ",1km,landslide,rain,small,unknown,0.0,,,,,glc,958.0,United States,US,North Carolina,1150.0,Maggie Valley,2.71542,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-83.071,35.507
OregonLive The Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/high_winds_heavy_rain_expected.html,959,01/07/2009 12:00:00 AM,,"Rochester along the Cowlitz and Lewis rivers, Washington","In Southwest Washington, officials called for residents to evacuate parts of the town of Rochester along the Chehalis River, and to the east, residents were dealing with landslides and flooding along the Cowlitz and Lewis rivers","Rochester along the Cowlitz and Lewis rivers, Washington",5km,landslide,rain,small,unknown,0.0,,,,,glc,959.0,United States,US,Oregon,1895.0,Rainier,4.05885,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.893,46.11
Ballard News Tribune,https://ballardnewstribune.com/robinson-papers/2009/02/02/mudslide-forced-normandy-park-woman-run-her-life,961,01/07/2009 12:00:00 AM,,"Sixth Place South in Normandy Park , Washington","Normandy Park resident Chris DeLaRosa says she ran for her life when a mudslide came pouring down her driveway on Jan. 7. The mud and water went almost to the Des Moines Marina, according to DeLaRosa. Rebecca Livingston is a student in the University of Washington Department of Communication News Laboratory","Sixth Place South in Normandy Park , Washington",5km,mudslide,rain,small,unknown,0.0,,,,,glc,961.0,United States,US,Washington,6335.0,Normandy Park,0.68778,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.334,47.432
Corvallis Gazette-Times,http://www.gazettetimes.com/news/local/floodwater-closing-i--at-centralia-wash/article_9b96973e-313d-50e8-b204-425c43c03aa3.html,962,01/07/2009 12:00:00 AM,,"Concrete, 70 miles northeast of Seattle,Washington","Rainfall totals for the 24 hours ending at 2 p.m. Wednesday included 6 inches at Marblemount in the Cascade foothills east of Mount Vernon; 4.70 inches at Glacier, near Mount Baker east of Bellingham; 4.59 inches at Paradise in Mount Rainier National Park, 3.63 inches in Olympia; and 1.64 inches at Seattle-Tacoma International Airport. There were no immediate reports of injuries. A woman was rescued after being trapped briefly in a house that was hit by a mudslide and collapsed in Concrete, 70 miles northeast of Seattle. Town Fire Chief Rich Phillips said medics indicated the woman was okay.","Concrete, 70 miles northeast of Seattle,Washington",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,962.0,United States,US,Washington,1347.0,Darrington,33.29411,09/15/2014 05:52:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.75,48.538
Corvallis Gazette-Times,http://www.gazettetimes.com/news/local/floodwater-closing-i--at-centralia-wash/article_9b96973e-313d-50e8-b204-425c43c03aa3.html,963,01/07/2009 12:00:00 AM,,"Acme area, Whatcom County, Washington","U.S. 97 was closed by slides at Blewett Pass, between Leavenworth and Ellensburg, and 200 to 300 feet of the northbound lane was washed away by flooding from Peshastin Creek, state Trooper Richard A. Magnussen said. Several Western Washington counties declared emergencies due to mudslides and flooding. In Whatcom County, just south of the Canadian border, slides hit at least three homes, two in the Acme area, said Bellingham police Lt. Rick Sucee, a spokesman at the county’s emergency operations center.","Acme area, Whatcom County, Washington",1km,mudslide,rain,small,unknown,0.0,,,,,glc,963.0,United States,US,Washington,6441.0,Sudden Valley,10.78797,09/11/2014 09:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2,48.72
